Txn Hash,Method,Timestamp,From,To,TokenID,Contract Address,Value,Type,Market Place
0x4912c45dfc65ea3f49a2f0127b77f54861a46eb23da534a12a09691b07872630,Atomic Match_,2022-05-19 1:53,0x254588747741a1bf5ab44da7147be44899f473c7,rguill3n.eth,263,0x7f268357A8c2552623316e2562D90e642bB538E5,0.01,Transfer,None
0x59b70ef2b9452105bc001a5989c8929a8193c98bbe6b439ab9ca2860bab23bc6,Atomic Match_,2022-05-19 1:49,0x01744c08ed2d851c80698ab6be32267b197db048,0x44807624c1874016ed6c60aae45caec9f0b2d1f8,4783,0x7f268357A8c2552623316e2562D90e642bB538E5,0.013,Transfer,None
0x5d9eb324d35a726f4587b85eb3cfaa9e619bf48aebd53784fe2faeacb419a059,Atomic Match_,2022-05-19 1:48,0xc98bd96b8c5d01f5867ce27ee45ce91dbe96c709,0x6f4ca5ad61fbf939e810070c92a988937470e31b,4185,0x7f268357A8c2552623316e2562D90e642bB538E5,0.0444,Transfer,None
0xa199a28bc1d0334db192ea34a4cd32a5c4caceab12c3b868e534039d8bcc9b64,Atomic Match_,2022-05-19 1:41,0x9055793c847ae89933932b16461d253f89de8460,0x3395d82246d3a9b8e680f93377431879d5b86e8b,7121,0x7f268357A8c2552623316e2562D90e642bB538E5,0.0244,Transfer,None
0xde8526440674fa263e2ad2910f54146988025c1fadd23b2c93f74da203d7059f,Atomic Match_,2022-05-19 1:40,0x9055793c847ae89933932b16461d253f89de8460,0x3395d82246d3a9b8e680f93377431879d5b86e8b,5907,0x7f268357A8c2552623316e2562D90e642bB538E5,0.025,Transfer,None
0xd0c5e9cb0f7a94a98b9a6afe7043ee4ae4f1ccf57eec05a6ed6b529956b64279,Atomic Match_,2022-05-19 1:34,0xe8d6fb2492417f5cf28ddc4dad8e92c3d7157ead,0xd65355b5e16dc0a31a6c5435a3dc2f07dc536974,6252,0x7f268357A8c2552623316e2562D90e642bB538E5,0.009,Transfer,None
0x9047b20f5b24e9a68c9b125dd0f91824402f98c97ef8739ac2c40cdc573a9c12,Transfer From,2022-05-19 1:34,tilhr.eth,0xaaf47b9ea999fccac2cead15392059b0595fa5d1,7488,0x02d4CCfB596AC2a8b1878D3bf8A390730F42bba7,0,Transfer,None
0x2e6080a200025a77e466fa3632dddbf8ae6282d42445dc5653734a5a670f9215,Atomic Match_,2022-05-19 1:32,0x793c3be97754d4363e1a37ed9c45dd6760c4e89f,notbus.eth,4415,0x7f268357A8c2552623316e2562D90e642bB538E5,0.01,Transfer,None
0x25b916d3ecf429aea02944131e4d533a73def63e3dfa2ef080a41b6dda562835,Transfer From,2022-05-19 1:31,delroynft.eth,0x84c63bbfd7aeb88e3598874313796d094b9b825d,7683,0x02d4CCfB596AC2a8b1878D3bf8A390730F42bba7,0,Transfer,None
0xb79b150217cac800b8477bd14e15a41333716f02958b5d07583d29e83d0dc2c9,Transfer From,2022-05-19 1:30,herbman.eth,0x84c63bbfd7aeb88e3598874313796d094b9b825d,7691,0x02d4CCfB596AC2a8b1878D3bf8A390730F42bba7,0,Transfer,None
0x3807ed6ddf657ad586285e626dd84c8cce89e0d9a30523c8656b26e33c02f5db,Atomic Match_,2022-05-19 1:29,0xe8d6fb2492417f5cf28ddc4dad8e92c3d7157ead,0xb7b0f642aa5b866accae2fd2b863c2fe8b163547,6871,0x7f268357A8c2552623316e2562D90e642bB538E5,0.01,Transfer,None
0x9832389e402a5b54f81dad8e000fe1282d2d07613e44d2e1ea266cf1e82ad21e,Transfer From,2022-05-19 1:29,0xc5ea2ffea98b1a26dce30a3e49e31432f70befa3,0x84c63bbfd7aeb88e3598874313796d094b9b825d,7701,0x02d4CCfB596AC2a8b1878D3bf8A390730F42bba7,0,Transfer,None
0x07ca37e27af484e8d30d79947d759b3ca40db8feb1858037915cb35f1bcd83e8,Atomic Match_,2022-05-19 1:28,0x793c3be97754d4363e1a37ed9c45dd6760c4e89f,0x960445b7263b50fd51f3ddca2fa9a453ea181265,7146,0x7f268357A8c2552623316e2562D90e642bB538E5,0.009,Transfer,None
